bank,證券商名稱,開業日,地址,電話
592d,元富延平,,,
592e,元富古亭,,,
592g,元富中原,,,
592i,元富中港,,,
592l,元富大裕,,,
592m,元富成功,,,
592n,元富西松,,,
592o,元富新興,,,
592q,元富屏東,,,
592r,元富城東,,,
592u,元富世貿,,,
592v,元富桃園,,,
592w,元富佳里,,,
592y,元富花蓮,,,
592z,元富文心,,,
592T,元富,,,
5960,日茂,,,
5961,日茂埔里,,,
5962,日茂南投,,,
6010,奔亞,,,
6012,奔亞網路,,,
601d,奔亞鑫豐,,,
6110,台中銀證券,,,
6114,台中銀員林,,,
6115,台中銀台北,,,
6116,台中銀高雄,,,
611A,台中銀豐原,,,
611T,台中銀自營,,,
6160,中國信託證,,,
6161,中信託三重,,,
6162,中信託忠孝,,,
6163,中信託永康,,,
6164,中信託文心,,,
6165,中信託新竹,,,
6167,中信託松江,,,
6168,中信託嘉義,,,
616A,中信託中壢,,,
616K,中信託高雄,,,
616T,中國信託自,,,
6210,新百王,,,
6380,光和,,,
6381,光和溪湖,,,
6382,光和田中,,,
6383,光和和美,,,
6385,光和花壇,,,
638A,光和嘉義,,,
638D,光和高雄,,,
6450,永全,,,
6451,永全南崁,,,
6452,永全八德,,,
6460,大昌,,,
6461,大昌樹林,,,
6462,大昌安康,,,
6463,大昌新竹,,,
6464,大昌新店,,,
6465,大昌桃園,,,
6480,福邦,,,
6489,福邦新竹,,,
648T,福邦,,,
6620,口袋證券,,,
6910,德信,,,
6912,德信中正,,,
6913,德信新營,,,
6915,德信和平,,,
691T,德信,,,
6950,福勝,,,
7000,兆豐,,,
7001,兆豐嘉義,,,
7003,兆豐台中,,,
7005,兆豐台中港,,,
7006,兆豐台南,,,
7007,兆豐竹北,,,
7008,兆豐三重,,,
7009,兆豐景美,,,
700B,兆豐板橋,,,
700C,兆豐來福,,,
700D,兆豐西螺,,,
700E,兆豐斗南,,,
700F,兆豐虎尾,,,
700G,兆豐麻豆,,,
700H,兆豐東門,,,
700I,兆豐北高雄,,,
700J,兆豐公益,,,
700K,兆豐新營,,,
700L,兆豐天母,,,
700M,兆豐桃園,,,
700N,兆豐埔墘,,,
700P,兆豐南京,,,
700R,兆豐小港,,,
700S,兆豐大同,,,
700U,兆豐桃鶯,,,
700V,兆豐新竹,,,
700W,兆豐城中,,,
700X,兆豐永和,,,
700Z,兆豐高雄,,,
700a,兆豐忠孝,,,
700b,兆豐中壢,,,
700c,兆豐民生,,,
700d,兆豐彰化,,,
700f,兆豐鹿港,,,
700g,兆豐南門,,,
700h,兆豐三民,,,
700i,兆豐松德,,,
700j,兆豐大安,,,
700k,兆豐員林,,,
700p,兆豐復興,,,
700q,兆豐內湖,,,
700r,兆豐寶成,,,
700s,兆豐岡山,,,
700w,兆豐新莊,,,
700T,兆豐自營,,,
7030,致和,,,
7031,致和台北,,,
7032,致和佳里,,,
7033,致和府前,,,
7034,致和金華,,,
7035,致和東門,,,
7036,致和高雄,,,
7038,致和南京,,,
703B,致和崇德,,,
703T,致和,,,
7070,豐農,,,
7080,石橋,,,
7750,北城,,,
7790,國票,,,
7791,國票台東,,,
7792,國票北投,,,
7795,國票南港,,,
7797,國票中正,,,
7798,國票內壢,,,
779D,國票台南,,,
779E,國票南崁,,,
779G,國票新莊,,,
779H,國票嘉義,,,
779J,國票北高雄,,,
779P,國票九鼎,,,
779V,國票天祥,,,
779W,國票彰化,,,
779X,國票中和,,,
779Z,國票安和,,,
779c,國票敦北,,,
779e,國票南科,,,
779j,國票和平,,,
779m,國票中港,,,
779n,國票南京,,,
779r,國票桃園,,,
779u,國票長城,,,
779v,國票台中,,,
779z,國票博愛,,,
779T,國票綜合,,,
8150,台新,,,
8151,台新建北,,,
8152,台新新莊,,,
8156,台新三民,,,
8157,台新左楠,,,
8158,台新松江,,,
8159,台新台南,,,
815A,台新高雄,,,
815B,台新台中,,,
815H,台新屏東,,,
815S,台新中壢,,,
815Y,台新新營,,,
815T,台新自營,,,
8380,安泰,,,
8381,安泰大發,,,
8382,安泰楠梓,,,
8440,摩根大通,,,
8450,康和,,,
8451,康和延平,,,
8455,康和臺中,,,
8456,康和新竹,,,
8458,康和台南,,,
8459,康和嘉義,,,
845A,康和內湖,,,
845B,康和永和,,,
845D,康和板橋,,,
845E,康和澎湖,,,
845F,康和仁愛,,,
845J,康和高雄,,,
845R,康和石牌,,,
845S,康和南崁,,,
845U,康和台北,,,
845X,康和屏東,,,
845T,康和,,,
8490,京城,,,
8492,京城南京,,,
8520,中農,,,
8560,新光,,,
8561,新光台中,,,
8562,新光高雄,,,
8563,新光新竹,,,
8564,新光台南,,,
8565,新光桃園,,,
856T,新光自營,,,
8580,聯邦銀,,,
8581,聯邦銀高雄,,,
8582,聯邦銀嘉義,,,
8583,聯邦銀忠孝,,,
8584,聯邦銀雙和,,,
8585,聯邦銀三重,,,
8586,聯邦銀大業,,,
8587,聯邦銀興中,,,
8588,聯邦銀富強,,,
8710,陽信證券,,,
8711,陽信石牌,,,
8713,陽信高雄,,,
8840,玉山證券,,,
8841,玉山雙和,,,
8842,玉山新莊,,,
8843,玉山高雄,,,
8846,玉山板橋,,,
8847,玉山台南,,,
8848,玉山嘉義,,,
8849,玉山景美,,,
884A,玉山士林,,,
884B,玉山台中,,,
884C,玉山南京,,,
884D,玉山左營,,,
884E,玉山城中,,,
884F,玉山桃園,,,
884H,玉山新竹,,,
884J,玉山大里,,,
884M,玉山數位,,,
884T,玉山證自營,,,
8880,國泰綜合,,,
8881,國泰高雄,,,
8882,國泰台中,,,
8883,國泰松江,,,
8884,國泰台南,,,
8885,國泰桃園,,,
8886,國泰新莊,,,
8887,國泰忠孝,,,
8888,國泰敦南,,,
888A,國泰博愛,,,
888K,國泰板橋,,,
888T,國泰自營,,,
8890,大和國泰,,,
8900,法銀巴黎證,,,
8960,上海匯豐,,,
9100,群益,,,
9101,群益敦南,,,
9103,群益松山,,,
9105,群益高盛,,,
9108,群益海山,,,
910D,群益大興,,,
9131,群益民權,,,
9134,群益開元,,,
9135,群益東大,,,
9136,群益西松,,,
9137,群益士林,,,
9138,群益中港,,,
913D,群益潭子,,,
913E,群益基隆,,,
913H,群益屏東,,,
913I,群益萬華,,,
913N,群益土城,,,
913R,群益北高雄,,,
913U,群益崇德,,,
913Y,群益館前,,,
913g,群益三重,,,
9182,群益,,,
9183,群益高雄,,,
9184,群益台中,,,
9185,群益台南,,,
9186,群益新竹,,,
9187,群益彰化,,,
9188,群益三民,,,
9189,群益桃園,,,
918A,群益中壢,,,
918B,群益板橋,,,
918C,群益古亭,,,
918D,群益東門,,,
918E,群益南京,,,
918F,群益新店,,,
918G,群益新莊,,,
918H,群益中山,,,
918J,群益永和,,,
918K,群益東湖,,,
918L,群益建成,,,
918M,群益嘉義,,,
918P,群益天母,,,
918W,群益忠孝,,,
918X,群益台北,,,
918c,群益鳳山,,,
918d,群益內湖,,,
918e,群益大安,,,
918g,群益大甲,,,
918i,群益竹南,,,
918s,群益丹鳳,,,
918u,群益瑞豐,,,
918x,群益延平,,,
918z,群益宜蘭,,,
910T,群益自營,,,
9200,凱基,,,
9202,凱基中港,,,
9203,凱基總公司,,,
9204,凱基台中,,,
9205,凱基三重,,,
9206,凱基高雄,,,
9207,凱基永和,,,
9208,凱基桃園,,,
9209,凱基岡山,,,
920A,凱基板橋,,,
920C,凱基雙和,,,
920D,凱基市府,,,
920E,凱基東門,,,
920F,凱基站前,,,
920G,凱基彰化,,,
920H,凱基基隆,,,
920M,凱基宜蘭,,,
920N,凱基湖口,,,
920V,凱基新店,,,
920W,凱基大里,,,
920Z,凱基台東,,,
9211,凱基台南,,,
9212,凱基東港,,,
9215,凱基三民,,,
9216,凱基信義,,,
9217,凱基松山,,,
9218,凱基大直,,,
921C,凱基民權,,,
921E,凱基三峽,,,
921F,凱基天母,,,
921G,凱基五股,,,
921J,凱基土城,,,
921M,凱基八德,,,
921S,凱基幸福,,,
921Y,凱基東勢,,,
9223,凱基豐中,,,
9224,凱基新莊,,,
9225,凱基內埔,,,
9226,凱基汐止,,,
9227,凱基城中,,,
9229,凱基中山,,,
922C,凱基屏東,,,
922H,凱基復興,,,
9231,凱基員林,,,
9233,凱基長庚,,,
9234,凱基竹北,,,
9235,凱基永華,,,
9236,凱基虎尾,,,
9237,凱基敦北,,,
9238,凱基士林,,,
9239,凱基市政,,,
9252,凱基嘉義,,,
9254,凱基科園,,,
9255,凱基和平,,,
9256,凱基南崁,,,
9257,凱基林口,,,
9258,凱基羅東,,,
9266,凱基新豐,,,
9268,凱基台北,,,
9272,凱基竹科,,,
9273,凱基竹東,,,
9274,凱基鳳山,,,
9275,凱基三多,,,
9276,凱基苗栗,,,
9278,凱基永康,,,
9281,凱基斗六,,,
9283,凱基北門,,,
9285,凱基中壢,,,
9287,凱基內湖,,,
9288,凱基埔墘,,,
9289,凱基興隆,,,
9291,凱基大安,,,
9296,凱基頭份,,,
9297,凱基文心,,,
920T,凱基自營,,,
9300,華南永昌,,,
9302,永昌台中,,,
9303,永昌高雄,,,
9305,永昌新莊,,,
9306,永昌台南,,,
9307,永昌大安,,,
9308,永昌麻豆,,,
9309,永昌古亭,,,
9312,永昌民權,,,
9314,永昌嘉義,,,
9315,永昌苑裡,,,
9316,永昌淡水,,,
9317,永昌林口,,,
9319,永昌鶯歌,,,
9322,永昌公誠,,,
9323,永昌小港,,,
9324,永昌岡山,,,
9325,永昌忠孝,,,
9326,永昌南京,,,
9327,永昌斗六,,,
9328,永昌潮州,,,
9329,永昌朴子,,,
9331,永昌鳳山,,,
9332,永昌楠梓,,,
9333,永昌長虹,,,
9334,永昌世貿,,,
9337,永昌內壢,,,
9339,永昌竹北,,,
9343,永昌頭份,,,
9347,永昌敦南,,,
9349,永昌板橋,,,
9352,永昌桃園,,,
9358,永昌東勢,,,
9359,永昌中正,,,
9362,永昌苗栗,,,
9363,永昌彰化,,,
9369,永昌三重,,,
9377,華南虎尾,,,
9386,永昌東昇,,,
930T,永昌自營,,,
9600,富邦,,,
9604,富邦陽明,,,
9608,富邦台東,,,
9614,富邦基隆,,,
9616,富邦岡山,,,
9621,富邦花蓮,,,
9623,富邦台北,,,
9624,富邦竹北,,,
